Tarea,Fase,Inicio,Fin,Duración (días),Recursos,Estado,Hito,Prioridad,Notas
PROYECTO COMPLETO: AGENTE IA ISMM,Proyecto,2026-02-03,2026-04-09,47,Equipo,No iniciado,No,Alta,Proyecto completo de implementación
FASE 1: PLANIFICACIÓN Y ANÁLISIS,Fase 1,2026-02-03,2026-02-07,5,Equipo,No iniciado,No,Alta,Fase crítica inicial
Reunión inicial con stakeholders,Fase 1,2026-02-03,2026-02-03,0.5,Ambos (100%),No iniciado,No,Alta,Reunión presencial obligatoria con dirección
Análisis de requisitos funcionales,Fase 1,2026-02-04,2026-02-04,1,Persona 1 (100%),No iniciado,No,Alta,Documentar casos de uso y funcionalidades
Análisis de requisitos no funcionales,Fase 1,2026-02-04,2026-02-04,1,Persona 2 (100%),No iniciado,No,Alta,Performance seguridad escalabilidad
Definición de alcance y objetivos SMART,Fase 1,2026-02-05,2026-02-05,1,Persona 1 (100%),No iniciado,No,Alta,Específicos Medibles Alcanzables Relevantes Temporales
Creación de especificaciones técnicas,Fase 1,2026-02-05,2026-02-06,1.5,Persona 2 (100%),No iniciado,No,Alta,Documento técnico completo con arquitectura
Revisión y aprobación del plan,Fase 1,2026-02-07,2026-02-07,0.5,Ambos (100%),No iniciado,No,Alta,Presentación a stakeholders
HITO: Plan de Proyecto Aprobado,Fase 1,2026-02-07,2026-02-07,0,,,Sí,Alta,H1: Aprobación formal para continuar
FASE 2: PREPARACIÓN DE DATOS Y CONTENIDO,Fase 2,2026-02-10,2026-02-19,8,Equipo,No iniciado,No,Alta,Base de conocimiento del agente
Estructuración de 3 carreras profesionales,Fase 2,2026-02-10,2026-02-11,2,Persona 1 (100%),No iniciado,No,Media,Cocinero/Panadero/Pastelero
Estructuración de 4 diplomados,Fase 2,2026-02-10,2026-02-11,1.5,Persona 2 (100%),No iniciado,No,Media,Cocina Básica Internacional Repostería Pastelería
Estructuración de 15 cursos cortos,Fase 2,2026-02-12,2026-02-13,2,Persona 1 (100%),No iniciado,No,Media,Información detallada de cada curso
Creación de base de FAQs (50+ preguntas),Fase 2,2026-02-12,2026-02-13,1.5,Persona 2 (100%),No iniciado,No,Media,Preguntas frecuentes categorizadas
Desarrollo del guión conversacional,Fase 2,2026-02-14,2026-02-17,2,Ambos (100%),No iniciado,No,Alta,Flujos de conversación completos
Revisión con equipo académico,Fase 2,2026-02-18,2026-02-18,1,Persona 1 (50%),No iniciado,No,Media,Validación de contenido técnico
Ajustes y correcciones finales,Fase 2,2026-02-18,2026-02-18,0.5,Persona 2 (100%),No iniciado,No,Media,Incorporar feedback del equipo
Exportación a formato JSON estructurado,Fase 2,2026-02-19,2026-02-19,0.5,Persona 1 (100%),No iniciado,No,Media,Base de conocimiento lista para IA
HITO: Contenido Estructurado,Fase 2,2026-02-19,2026-02-19,0,,,Sí,Alta,H2: Base de conocimiento completa
FASE 3: INTEGRACIÓN META API - WHATSAPP,Fase 3,2026-02-20,2026-02-28,7,Equipo,No iniciado,No,Alta,Proceso puede tener tiempos de espera
Verificación de número telefónico,Fase 3,2026-02-20,2026-02-20,1,Persona 1 (100%),No iniciado,No,Alta,Verificar número en Meta Business Suite
Validación de portafolio empresarial,Fase 3,2026-02-20,2026-02-20,1,Persona 2 (100%),No iniciado,No,Alta,Verificar estado en Meta
Preparación de documentación empresarial,Fase 3,2026-02-21,2026-02-21,1,Persona 1 (100%),No iniciado,No,Alta,Documentos legales RUC etc.
Envío y seguimiento de verificación,Fase 3,2026-02-24,2026-02-25,2,Persona 2 (50%),No iniciado,No,Alta,Puede tomar 24-48h de espera
Creación de app en Meta for Developers,Fase 3,2026-02-24,2026-02-24,1,Persona 1 (100%),No iniciado,No,Alta,Configurar app y permisos
Configuración de credenciales y tokens,Fase 3,2026-02-25,2026-02-25,1,Persona 1 (100%),No iniciado,No,Alta,Access tokens API keys
Configuración de webhooks,Fase 3,2026-02-26,2026-02-26,1,Persona 2 (100%),No iniciado,No,Alta,Endpoints para recibir mensajes
Pruebas de conexión con WhatsApp API,Fase 3,2026-02-27,2026-02-27,1,Ambos (100%),No iniciado,No,Alta,Envío y recepción de mensajes
Documentación de credenciales,Fase 3,2026-02-28,2026-02-28,0.5,Persona 1 (100%),No iniciado,No,Media,Guardar en gestor de contraseñas
HITO: WhatsApp API Verificado,Fase 3,2026-02-28,2026-02-28,0,,,Sí,Alta,H3: Conexión WhatsApp funcional
FASE 4: CONFIGURACIÓN DE CHATWOOT,Fase 4,2026-03-03,2026-03-07,5,Equipo,No iniciado,No,Alta,Plataforma de gestión de conversaciones
Instalación de Chatwoot en servidor,Fase 4,2026-03-03,2026-03-04,1.5,Persona 2 (100%),No iniciado,No,Alta,Instalación en cloud o servidor propio
Configuración inicial de la plataforma,Fase 4,2026-03-03,2026-03-03,0.5,Persona 1 (100%),No iniciado,No,Media,Configuración básica
Integración con WhatsApp Business API,Fase 4,2026-03-05,2026-03-05,1,Persona 1 (100%),No iniciado,No,Alta,Conectar webhooks de WhatsApp
Configuración de equipos y usuarios,Fase 4,2026-03-05,2026-03-05,0.5,Persona 2 (100%),No iniciado,No,Media,Roles: admin agentes supervisores
Personalización de interfaz,Fase 4,2026-03-06,2026-03-06,1,Persona 2 (100%),No iniciado,No,Media,Branding colores logo
Configuración de etiquetas y categorías,Fase 4,2026-03-06,2026-03-06,0.5,Persona 1 (100%),No iniciado,No,Baja,Organización de conversaciones
Creación de respuestas rápidas,Fase 4,2026-03-07,2026-03-07,0.5,Persona 1 (100%),No iniciado,No,Baja,Templates de respuestas comunes
Configuración de automatizaciones,Fase 4,2026-03-07,2026-03-07,0.5,Persona 2 (100%),No iniciado,No,Media,Reglas de asignación automática
Pruebas de bandeja de entrada omnicanal,Fase 4,2026-03-07,2026-03-07,0.5,Ambos (100%),No iniciado,No,Alta,Verificar funcionamiento completo
HITO: Chatwoot Operativo,Fase 4,2026-03-07,2026-03-07,0,,,Sí,Alta,H4: Plataforma lista para IA
FASE 5: DESARROLLO E INTEGRACIÓN AGENTE IA,Fase 5,2026-03-10,2026-03-21,10,Equipo,No iniciado,No,Alta,Núcleo del sistema
Evaluación de plataformas de IA,Fase 5,2026-03-10,2026-03-10,1,Ambos (100%),No iniciado,No,Alta,Claude GPT-4 Gemini - análisis comparativo
Selección y justificación de plataforma,Fase 5,2026-03-11,2026-03-11,0.5,Persona 1 (100%),No iniciado,No,Alta,Documento de decisión técnica
Configuración de cuenta y API keys,Fase 5,2026-03-11,2026-03-11,0.5,Persona 2 (100%),No iniciado,No,Alta,Credenciales de la plataforma elegida
Estructuración de base de conocimiento,Fase 5,2026-03-12,2026-03-13,1.5,Persona 1 (100%),No iniciado,No,Alta,Formato JSON/DB optimizado para IA
Desarrollo de sistema de embeddings,Fase 5,2026-03-12,2026-03-12,1,Persona 2 (100%),No iniciado,No,Alta,Vector database si es necesario
Entrenamiento del agente - Carreras,Fase 5,2026-03-14,2026-03-14,1,Persona 1 (100%),No iniciado,No,Alta,Fine-tuning con datos de carreras
Entrenamiento del agente - Diplomados,Fase 5,2026-03-14,2026-03-14,1,Persona 2 (100%),No iniciado,No,Alta,Fine-tuning con datos de diplomados
Entrenamiento del agente - Cursos cortos,Fase 5,2026-03-17,2026-03-17,1,Persona 1 (100%),No iniciado,No,Media,Fine-tuning con datos de cursos
Configuración de intents y entidades,Fase 5,2026-03-17,2026-03-17,1,Persona 2 (100%),No iniciado,No,Alta,NLU: detección de intenciones
Desarrollo de flujos conversacionales,Fase 5,2026-03-18,2026-03-19,1.5,Ambos (100%),No iniciado,No,Alta,Lógica de conversación con contexto
Integración del agente con Chatwoot API,Fase 5,2026-03-19,2026-03-19,1,Persona 1 (100%),No iniciado,No,Alta,Conexión bidireccional
Configuración de reglas de escalamiento,Fase 5,2026-03-20,2026-03-20,0.5,Persona 2 (100%),No iniciado,No,Media,Cuándo pasar a agente humano
Sistema de logging y monitoreo,Fase 5,2026-03-20,2026-03-20,1,Persona 1 (100%),No iniciado,No,Alta,Registro de conversaciones y métricas
Pruebas iniciales del agente,Fase 5,2026-03-21,2026-03-21,1,Ambos (100%),No iniciado,No,Alta,20+ casos de prueba
HITO: Agente IA Funcional,Fase 5,2026-03-21,2026-03-21,0,,,Sí,Alta,H5: IA respondiendo correctamente
FASE 6: INTEGRACIÓN CON ZOHO CRM,Fase 6,2026-03-24,2026-03-28,5,Equipo,No iniciado,No,Alta,Gestión de leads y seguimiento
Evaluación del API de Zoho CRM,Fase 6,2026-03-24,2026-03-24,1,Persona 1 (100%),No iniciado,No,Media,Documentación y capacidades
Configuración de credenciales Zoho,Fase 6,2026-03-24,2026-03-24,0.5,Persona 2 (100%),No iniciado,No,Alta,OAuth API keys
Configuración de webhooks bidireccionales,Fase 6,2026-03-25,2026-03-25,1,Persona 2 (100%),No iniciado,No,Alta,Sincronización en tiempo real
Desarrollo de sincronización de leads,Fase 6,2026-03-25,2026-03-26,1.5,Persona 1 (100%),No iniciado,No,Alta,Creación automática de leads
Mapeo de campos entre sistemas,Fase 6,2026-03-26,2026-03-26,1,Persona 2 (100%),No iniciado,No,Media,Nombre email teléfono programa etc.
Implementación de flujo de actualización,Fase 6,2026-03-27,2026-03-27,1,Persona 1 (100%),No iniciado,No,Alta,Estados: nuevo contactado interesado etc.
Pruebas de integración bidireccional,Fase 6,2026-03-28,2026-03-28,1,Ambos (100%),No iniciado,No,Alta,15+ casos de uso reales
HITO: Zoho CRM Integrado,Fase 6,2026-03-28,2026-03-28,0,,,Sí,Alta,H6: CRM sincronizado
FASE 7: PRUEBAS Y CONTROL DE CALIDAD,Fase 7,2026-03-31,2026-04-04,5,Equipo,No iniciado,No,Alta,Validación completa del sistema
Diseño de casos de prueba,Fase 7,2026-03-31,2026-03-31,1,Ambos (100%),No iniciado,No,Alta,50+ casos de prueba documentados
Pruebas unitarias de componentes,Fase 7,2026-04-01,2026-04-01,1,Persona 1 (100%),No iniciado,No,Alta,Cada módulo individualmente
Pruebas de integración end-to-end,Fase 7,2026-04-01,2026-04-02,1.5,Persona 2 (100%),No iniciado,No,Alta,Flujo completo: WhatsApp a IA a CRM
Pruebas de carga y estrés,Fase 7,2026-04-02,2026-04-02,1,Persona 1 (100%),No iniciado,No,Alta,Simular 100+ conversaciones simultáneas
Pruebas de usuario (UAT),Fase 7,2026-04-03,2026-04-03,1,Ambos (50%),No iniciado,No,Alta,10-15 casos de uso con usuarios reales
Documentación de errores encontrados,Fase 7,2026-04-03,2026-04-03,0.5,Persona 1 (100%),No iniciado,No,Media,Bug tracking
Corrección de errores críticos,Fase 7,2026-04-04,2026-04-04,1,Ambos (100%),No iniciado,No,Alta,Prioridad alta
Validación final del sistema,Fase 7,2026-04-04,2026-04-04,0.5,Ambos (100%),No iniciado,No,Alta,Sign-off de calidad
HITO: Sistema Validado,Fase 7,2026-04-04,2026-04-04,0,,,Sí,Alta,H7: QA aprobado
FASE 8: CAPACITACIÓN Y DOCUMENTACIÓN,Fase 8,2026-04-07,2026-04-08,3,Equipo,No iniciado,No,Media,Preparación del equipo
Creación de manual de usuario,Fase 8,2026-04-07,2026-04-07,1,Persona 1 (100%),No iniciado,No,Media,Con capturas de pantalla
Documentación técnica de arquitectura,Fase 8,2026-04-07,2026-04-07,1,Persona 2 (100%),No iniciado,No,Media,Diagramas y especificaciones
Guías de troubleshooting,Fase 8,2026-04-08,2026-04-08,0.5,Persona 1 (100%),No iniciado,No,Baja,Problemas comunes y soluciones
Preparación de materiales de capacitación,Fase 8,2026-04-08,2026-04-08,0.5,Persona 2 (100%),No iniciado,No,Media,Presentaciones y videos
Sesión de capacitación - Equipo administrativo,Fase 8,2026-04-08,2026-04-08,0.5,Ambos (100%),No iniciado,No,Media,Capacitación práctica
Sesión de capacitación - Equipo de ventas,Fase 8,2026-04-08,2026-04-08,0.5,Ambos (100%),No iniciado,No,Media,Capacitación práctica
Sesión de preguntas y resolución de dudas,Fase 8,2026-04-08,2026-04-08,0.25,Ambos (50%),No iniciado,No,Baja,Preguntas del equipo
Entrega de materiales digitales,Fase 8,2026-04-08,2026-04-08,0.25,Persona 1 (50%),No iniciado,No,Baja,Drive/email con documentación
HITO: Equipo Capacitado,Fase 8,2026-04-08,2026-04-08,0,,,Sí,Alta,H8: Personal entrenado
FASE 9: DESPLIEGUE Y PUESTA EN PRODUCCIÓN,Fase 9,2026-04-09,2026-04-09,2,Equipo,No iniciado,No,Alta,Lanzamiento oficial
Configuración final de entorno de producción,Fase 9,2026-04-09,2026-04-09,0.5,Persona 2 (100%),No iniciado,No,Alta,Servidores DNS SSL
Migración de datos y configuraciones,Fase 9,2026-04-09,2026-04-09,0.5,Persona 1 (100%),No iniciado,No,Alta,Desde ambiente de pruebas
Verificación de servicios en producción,Fase 9,2026-04-09,2026-04-09,0.25,Ambos (100%),No iniciado,No,Alta,Health checks de todos los servicios
Lanzamiento oficial del agente IA,Fase 9,2026-04-09,2026-04-09,0.25,Ambos (100%),No iniciado,No,Alta,Activación del número de WhatsApp
Monitoreo post-lanzamiento (48h),Fase 9,2026-04-09,2026-04-09,2,Ambos (50%),No iniciado,No,Alta,Vigilancia intensiva
Ajustes menores si son necesarios,Fase 9,2026-04-09,2026-04-09,0.5,Persona 1 (100%),No iniciado,No,Media,Correcciones rápidas
HITO: GO-LIVE PRODUCCIÓN,Fase 9,2026-04-09,2026-04-09,0,,,Sí,Alta,H9: SISTEMA EN VIVO
